productID,Description,
1001,With natural ingredients like wintergreen oil- nilgiri ka tel- pudine ka phool- lavang ka tel it generates heat; penetrates the skin; gives relief from pain; relaxes and warms up muscles and increases blood circulation in the affected area,
1002,Care Instructions: Non Washable; 3 Ply Face mask with Melt blown layer to assure BFE = 95 % and hence Ensures your Safety; Plastic wire Nose pin for comfortable fit on face; strong ultrasonic sealed ear loop for all day use,
1003,Ready-to-use antiseptic wash-proof bandage with non stick pad; Air holes allow air to pass through the medicated area,
1004,Protects from 100 illness causing germs; MULTIPURPOSE CLEANER: Great for everyday personal and home hygiene; LIME FRAGRANCE: Anti-bacterial disinfectant liquid cleaner has a fresh lime fragrance; Dettol Multi-purpose cleaner is safe on skin and on all surfaces,
1005,Pain relief massage oil is fortified with glucosamine formula is effective for reducing arthritic and all joint pains; Its deep penetrating formula provides quick effective penetration thereby helps in long lasting relief,
1006, Non-contact infrared measurement while avoiding cross infection; has been clinically tested and has a very small error margin; It is actually more accurate and healthier than standard mercury thermometers; The HD LED screen displays clear and crisp numbers that are easy to read; Designed for all ages; It supports to take human or room or object temperature,
1007,Material-Stainless Steel; Front Heavy Clear acrylic; Partition for medicines organize with lock and 2 set of key; Ideal for Offices Hospitals education organisation Company staff Hospitals Factory; On the top handle for carry to some where,
1008,Advance Tablet as a medicine used to relieve pain and to reduce fever. It is used to treat many conditions such as headache- body ache- toothache and common cold; It works by inhibiting the release of certain chemical that cause pain and fever,
1009,Useful in the treatment of stomach ailments like acidity- gas- indigestion; Also provide quick relief from stomach ache; The product is 100% safe and natural,
1010,This combination medicine is usually used in the treatment of mild to moderate pain. The indications may include menstrual cramps- tooth pain- irritable bowel syndrome (Intestinal disorder)- pain in the joints- headache. This medicine may be prescribed alone or combined with other medications,
1011,Paracetamol is a common painkiller used to treat aches and pain. It can also be used to reduce a high temperature.It's available combined with other painkillers and anti-sickness medicines. It's also an ingredient in a wide range of cold and flu remedies,
1012,Syrup suppresses the cough reflex; relieves chest congestion; reduces throat pain and irritation; and enhances immunity against recurrent cough and cold. A cough formula that combines medicinal herbs beneficial to suppressing cough reflexes,
1013,80% Ethanol based; Rub-in Hand Disinfectant and Sanitizer. Effective against 99.9% Germs Viruses and Bacteria; WHO recommended hand-rub formulation; pure hygienic and effective during routine; ready to use,
2001,L shaped Modern Fabric Sofa Set; solid wooden base; Style: Contemporary; Seat filling : Foam,
2002,High Quality Synthetic Wood; unbreakable Plexi Glass and Mdf Back; The frame set makes a great gift idea for multi occasion: Christmas; anniversary; wedding; baby shower; housewarming; and more,
2003,Wide and broad design that provides comfortable long hours of sitting; Strong Plastic Armrest; Heavy Duty Plastic Umbrella Shape Base; Pneumatic height adjustment & padded seat for day long comfort,
2004,Water Proof and Scratch Resistant; Material: Engineered Wood - Particle Boar; Finish: Matte Wood Grain; Multipurpose furniture,
2005,Non breakable ;Decorative; traditional; unique handicraft design ;Royal Indian handicraft; having a layer of powder coating which gives the most economical, longest lasting, and most colour-durable quality finishes,
2006,Beautifully crafted corner stand to enhance the look of your room corners; Looks vibrant and classy and imparts a fresh and new feel to the surroundings; Very easy to assemble and move around; Finish: Glossy; Style: Antique,
2007,Primary Material : Sheesham Wood | Secondary Material : Ply Board/Solid Wood; This Dining Table Set Can Be Used Not Only In Home But Also In Kitchen, Pub, Restaurant And Other Business Place For Its Sophisticated Look And Excellent Sunlight Resistance,
2008,Light weight and made out of extremely durable plastic; The stools are designed in a way to conserve space after it is folded up; The lightweight but sturdy folding step stool is easy to use because it opens with one flip of the hand,
2009,Aluminium ladder 100% rust free, Ideal For Every House Hold-Office- Warehouse- Godown Or Shop; Corrosion Resistant Structure For Longer Life; Wide Base Design For Firm Comfortable And Safe Climb; Anti skid rubber and eco friendly,
2010,Perfect design;Each one is unique and beautiful; designed with adhesive sticker to help attach to the wall; Durable and elegant; Can be applied on all smooth surfaces such as walls- doors- closets- plastic- metal fridges- laptops and so on,
2011,Product Material: Engineered Wood | Sub-Material: Melamine Faced Chipboard; The wardrobe features a secure closing function with a key lock mechanism on both sections to latch it securely shut; Durable and very spacious, 
2012,Durable and Long Lasting: Made from premium quality materials; Uses 1 "AA" battery; This Designer Analog wall clocks will add charm to any room in your home and would add to the decor of your house,
